,PORT_NAME,INDEX_NO,coords
3416,BUCHANAN,45950.0,"((-10.062941541786744, 5.851955),)"
3419,AL JUBAYL,48338.0,"((49.80682647142126, 27.15417),)"
3420,BUENAVENTURA,15370.0,"((-77.13954027623768, 3.847725),)"
3421,TARANTO,40470.0,"((17.187979790456758, 40.466865),)"
3423,jubilee offshore,,"((-2.9306900000000002, 4.66539),)"
3424,BUENOS AIRES,13760.0,"((-58.33031160901467, -34.610640000000004),)"
3425,PASCAGOULA,8780.0,"((-88.53118647072071, 30.338655000000003),)"
3428,pazflor offshore terminal,,"((12.0391275, -7.61538),)"
3429,TARRAGONA,38540.0,"((1.2093694112882996, 41.088475),)"
3430,kabil,,"((104.151963575194, 1.069685),)"
3431,bullenbaai,,"((-69.01958906504065, 12.189575000000001),)"
3432,pecem,,"((-38.798738274790594, -3.51599),)"
3433,TARTUS,45003.0,"((35.85729868879555, 34.943525),)"
3434,bunbury,,"((115.65916662063954, -33.304105),)"
3436,bundaberg,,"((152.4361429679376, -24.752405),)"
3438,TAWA,51586.0,"((117.69817362819416, 4.2775099999999995),)"
3439,TANJUNG ARANG  (BUNYU),51770.0,"((117.59116746217828, 3.26857),)"
3442,KAKINADA BAY,49470.0,"((82.30708105212098, 16.965600000000002),)"
3443,BURGAS,43500.0,"((27.548198509966497, 42.49387),)"
3444,penglai 19-3 offshore terminal,,"((120.083335, 38.400000000000006),)"
3445,tekirdag,,"((27.51673483455211, 40.96429500000001),)"
3446,burns harbour,,"((-87.1373443338727, 41.633695),)"
3447,kalamaki,,"((23.022710015463915, 37.919335000000004),)"
3449,teluk bayur,,"((100.37713386331444, -0.999425),)"
3450,kalbut situbondo offshore terminal,,"((113.97216764130128, -7.6205300000000005),)"
3453,butinge offshore terminal,,"((20.96025248490338, 56.044979999999995),)"
3455,teluk kabung,,"((100.3929934518647, -1.05375),)"
3456,pepel,,"((-13.05845773508772, 8.580124999999999),)"
3458,bw cidade de sao vicente offshore,,"((-42.884725, -25.609725),)"
3460,teluk paku,,"((103.31610761621472, 1.067755),)"
3461,bz 25-1 offshore,,"((119.163335, 38.246665),)"
3462,kalundborg,,"((11.095731669519326, 55.663255),)"
3463,TEMA,46070.0,"((0.05865752663879147, 5.641655),)"
3467,cabedelo,,"((-34.840600581457664, -6.97153),)"
3481,petrojarl foinaven offshore terminal,,"((-4.278591010273972, 60.314025),)"
3482,KANDLA,48630.0,"((70.21597600368719, 23.014665),)"
3485,KANOKAWA KO,61655.0,"((132.434108539629, 34.173855),)"
3486,VILLANUEVA,59725.0,"((124.71996496504873, 8.68234),)"
3487,TEXAS CITY,9160.0,"((-94.88993087242659, 29.344340000000003),)"
3489,SARROCH OIL TERMINAL,39215.0,"((9.04278690349396, 39.1468),)"
3493,TRENTON,8160.0,"((-75.37598894951296, 39.822125),)"
3495,THESSALONIKI,42530.0,"((22.90857636763824, 40.630579999999995),)"
3496,PHILLIPSBURG,11370.0,"((-63.05122921165629, 18.01557),)"
3497,KARACHI,48600.0,"((66.98500373303168, 24.80929),)"
3498,CALABAR,46230.0,"((8.285237270208286, 4.932012115),)"
3501,karimun besar,,"((103.5, 1.0916649999999999),)"
3502,PUERTO CALDERA,15500.0,"((-84.73870691231195, 9.917470000000002),)"
3507,caleta cordoba,,"((-67.32027500000001, -45.774445),)"
3508,karlshamn,,"((14.87077080392157, 56.14936),)"
3509,piraeus,,"((23.569891923076923, 37.9602),)"
3511,caleta olivia,,"((-67.47833, -46.425555),)"
3512,pisco,,"((-76.23926210503197, -13.73197),)"
3513,CALETA PATILLOS,14671.0,"((-70.19990678742157, -20.75479),)"
3517,PUERTO DEL CALLAO,14950.0,"((-77.14592691645407, -12.044575),)"
3522,tjeldbergodden,,"((8.684816549336267, 63.41061),)"
3524,campana,,"((-58.93410206216955, -34.16084),)"
3525,KARSTO,23451.0,"((5.504366742354034, 59.257985000000005),)"
3526,TOAMASINA,47540.0,"((49.45627699458991, -18.168860000000002),)"
3529,tobruk,,"((23.993281451342277, 32.059560000000005),)"
3530,PLOCE,41410.0,"((17.432615846324552, 43.041215),)"
3532,tocopilla,,"((-70.20913006132392, -22.09252),)"
3538,nouadhibou,,"((-17.032929587730873, 20.822355),)"
3539,sandwich,,"((-70.51193948529412, 41.77332),)"
3540,KAVALA,42600.0,"((24.453107097656257, 40.936795000000004),)"
3541,TOLEDO,3560.0,"((-83.46465831220407, 41.670075),)"
3542,pointe a pitre,,"((-61.531566479820626, 16.191885),)"
3543,CAPE FLATTERY HARBOR,53318.0,"((145.3128809909171, -14.921230000000001),)"
3544,POINTE NOIRE,46470.0,"((11.838765681448333, -4.771885),)"
3545,tombak,,"((52.18546237853205, 27.71185),)"
3548,tongyeong,,"((128.46119320365386, 34.891415),)"
3549,CAP LOPEZ,46445.0,"((8.713756457903, -0.630555),)"
3551,point limboh,,"((9.121211967761557, 3.9928999999999997),)"
3552,TOPOLOBAMPO,15830.0,"((-109.10427458843799, 25.567495),)"
3553,KAWASAKI KO,61385.0,"((139.766161990071, 35.47501054916111),)"
3555,POINT LISAS INDUSTRIAL PORT,11750.0,"((-61.49359650948884, 10.37048),)"
3556,carboneras,,"((-1.8943696686746985, 36.97417),)"
3561,polvo offshore terminal,,"((-41.010000000000005, -23.085),)"
3564,POMALAA,52295.0,"((121.46758754369954, -4.120605),)"
3566,toros gubre terminal,,"((35.98851189075828, 36.911185),)"
3568,CARTAGENA,11910.0,"((-75.55760410009569, 10.3549),)"
3569,TORRE ANNUNZIATA,39990.0,"((14.452730386904761, 40.746865),)"
3571,ponta delgada,,"((-25.661155000000004, 37.738884999999996),)"
3572,casablanca,,"((-7.593050573263562, 33.628215),)"
3574,ponta ubu,,"((-40.57103252475248, -20.78942),)"
3576,MIKAWA,61465.0,"((137.28365815600287, 34.73029),)"
3577,EL GRAO,38500.0,"((0.017980511871387373, 39.960565),)"
3578,kemen,,"((119.76787331144465, 26.388835),)"
3579,TRABZON,44390.0,"((39.82747848101265, 40.991235),)"
3580,PORBANDAR,48680.0,"((69.58657362721894, 21.623179999999998),)"
3581,kemi,,"((24.52272176129607, 65.664335),)"
3582,tramandai offshore terminal,,"((-50.08611205554264, -30.02024),)"
3583,TAHKOLUOTO,27755.0,"((21.464696376309334, 61.619975),)"
3587,catskill,,"((-73.86614251965275, 42.21595),)"
3592,PORT ALMA,53440.0,"((151.01724219415536, -23.515825),)"
3594,CAYO ARCAS TERMINAL,9395.0,"((-91.958315, 20.200989999999997),)"
3595,BEAUMONT,9140.0,"((-93.85279536545073, 29.869315),)"
3596,cebu,,"((123.92167318036402, 10.30053),)"
3597,MINA TARABULUS (TRIPOLI),45330.0,"((13.215070711722483, 32.918735),)"
3598,PORT AU PRINCE,10880.0,"((-72.56479295715147, 18.682055),)"
3600,TARABULUS,45025.0,"((35.85036058537534, 34.48922),)"
3601,KHAWR AL AMAYA,48390.0,"((48.806658412906216, 29.784045),)"
3603,CEIBA TERMINAL,46335.0,"((9.229674270009237, 1.40808),)"
3606,khor al fakkan port,,"((56.360138684210526, 25.359945000000003),)"
3607,trois rivieres,,"((-72.51985149853283, 46.356655),)"
3608,chabahar,,"((60.60754000363725, 25.31516),)"
3609,port canaveral,,"((-80.6115618082012, 28.411955),)"
3611,TROMSO,21310.0,"((18.99567675891182, 69.666325),)"
3613,PORT CARTIER,1958.0,"((-66.78160388113838, 50.022865),)"
3615,port colborne,,"((-79.24855474148802, 42.85838),)"
3618,ehoala,,"((46.99391487737892, -25.06663),)"
3620,tsuneishi,,"((133.30243315957446, 34.385095),)"
3621,KIIRE,62225.0,"((130.56139307954408, 31.389294999999997),)"
3624,port elizabeth,,"((25.6396778350531, -33.948185),)"
3625,chaozhou sanbaimen,,"((117.10529767553368, 23.550804999999997),)"
3626,kikuma,,"((132.86010085078533, 34.064475),)"
3627,PORT ESQUIVEL,10772.0,"((-77.12211106353591, 17.884945000000002),)"
3628,CHARLESTON,8500.0,"((-79.94822300776197, 32.81754),)"
3630,tuban,,"((111.98778660937776, -6.78906),)"
3631,port everglades,,"((-80.11896841110024, 26.080779999999997),)"
3633,charlottetown,,"((-63.11642148014171, 46.22943),)"
3634,tuban marine terminal,,"((112.13, -6.66),)"
3636,chekka,,"((35.71148940442427, 34.32503),)"
3637,TUBARAO,12855.0,"((-40.23613417952193, -20.284860000000002),)"
3638,PORT GENTIL,46440.0,"((8.788962265346182, -0.691385),)"
3639,CHENNAI (MADRAS),49450.0,"((80.31264150702233, 13.124659999999999),)"
3643,tumaco offshore terminal,,"((-78.805835, 1.85361),)"
3644,PORT HAWKESBURY,5870.0,"((-61.352646875, 45.586965),)"
3646,NEWPORT NEWS,8300.0,"((-76.35367934141223, 36.8882),)"
3648,PORT HEDLAND,54620.0,"((118.58304857878372, -20.32),)"
3651,tuxpan,,"((-97.26476017558406, 21.00239),)"
3654,tuzla,,"((29.270120745545075, 40.851535),)"
3655,port kaiser,,"((-77.60390964604403, 17.85612),)"
3656,kin wan,,"((127.95753928285967, 26.369445),)"
3657,port kamsar,,"((-14.620716405522806, 10.645859999999999),)"
3658,CALUMET HARBOR,4790.0,"((-87.49138600094876, 41.674835),)"
3659,kirkenes,,"((30.032424748377945, 69.726695),)"
3660,UDDEVALLA,23990.0,"((11.88435686335404, 58.33934),)"
3661,KAVKAZ OIL TERMINAL,44162.0,"((36.73476502136687, 45.371445),)"
3665,PUERTO DE CHIMBOTE,15030.0,"((-78.59821606232295, -9.063935),)"
3668,portland,,"((141.63973025573353, -38.340090000000004),)"
3669,jinhae,,"((128.6882981329114, 35.121115),)"
3670,UMM QASR,48399.0,"((47.857662291804914, 30.186104999999998),)"
3671,PORTLAND HARBOUR,35450.0,"((-2.4324637425343436, 50.573314999999994),)"
3673,chiriqui grande oil terminal,,"((-82.10709183617469, 8.964295),)"
3674,portland,,"((-122.76868937500001, 45.58885),)"
3675,usan offshore terminal,,"((7.4143611360587, 3.51565),)"
3677,portland maine,,"((-70.25340144869216, 43.64481),)"
3679,KITIMAT,18925.0,"((-128.6718224560537, 53.977895000000004),)"
3684,PORT LATTA,54875.0,"((145.38704920616115, -40.84021),)"
3685,cienfuegos,,"((-80.4531607801917, 22.109895),)"
3686,REKA LUGA,28410.0,"((28.391406085043986, 59.6875),)"
3687,PORT LAVACA,9270.0,"((-96.47890615616147, 28.549395),)"
3688,cilacap,,"((108.99469534418606, -7.7214849999999995),)"
3689,PORT LOUIS,47720.0,"((57.484522662852385, -20.142015),)"
3693,cinta offshore terminal,,"((106.229165, -5.439725),)"
3697,KLAIPEDA,28660.0,"((21.13581203708845, 55.686409999999995),)"
3698,PORT MORESBY,53160.0,"((147.13020590669464, -9.462435),)"
3702,CIVITAVECCHIA,39810.0,"((11.771202428035044, 42.11018),)"
3703,RADA DI VADO,39420.0,"((8.439133715923173, 44.266275),)"
3705,BANTEN,50925.0,"((105.95743156943584, -6.006835000000001),)"
3709,VALDEZ,19670.0,"((-146.328757402387, 61.113945),)"
3710,port noro,,"((157.19789716535433, -8.22568),)"
3711,VALENCIA,38480.0,"((-0.3148772111379091, 39.436955),)"
3712,CLEVELAND,3490.0,"((-81.6940186875, 41.492954999999995),)"
3716,CLIFTON PIER,9995.0,"((-77.54579864774655, 25.0016),)"
3717,koh si chang,,"((100.82325777027026, 13.135829999999999),)"
3718,PORTO ALEGRE,13080.0,"((-51.26084940859705, -29.977835),)"
3719,van gogh offshore,,"((114.088335, -21.403335),)"
3720,koje,,"((128.7353407142857, 34.805065),)"
3722,coatzacoalcos,,"((-94.3918425257313, 18.113125),)"
3723,KOKKOLA,27560.0,"((23.023406831271092, 63.857955000000004),)"
3725,KOCHI (COCHIN),49130.0,"((76.25125118802168, 9.94129),)"
3728,salalah,,"((54.015451958646615, 16.96494),)"
3729,PUERTO COLON,9865.0,"((-79.88495609682153, 9.37042),)"
3733,varna,,"((27.850462262443436, 43.192375),)"
3735,kolkata,,"((88.30785680329019, 22.528535),)"
3737,vasilikos,,"((33.299277393092105, 34.72),)"
3739,porto torres,,"((8.35684772245618, 40.836355),)"
3742,KOME KRIBI 1 MARINE TERMINAL,46292.0,"((9.799926831894304, 2.91998),)"
3743,porto trombetas,,"((-56.372360220153794, -1.45476),)"
3746,KOPER,40860.0,"((13.713285027343268, 45.55623),)"
3747,PORTO VESME,39260.0,"((8.395547778398216, 39.192415),)"
3748,COME BY CHANCE HARBOR,1715.0,"((-54.01701671875, 47.810590000000005),)"
3749,venice,,"((12.26216383901193, 45.446435),)"
3753,korfez,,"((29.75838861257118, 40.755224999999996),)"
3754,CONAKRY,45855.0,"((-13.71402012170553, 9.51864),)"
3755,veracruz,,"((-96.09300126937383, 19.167505),)"
3757,port rhoades,,"((-77.41490169430679, 18.46182),)"
3760,KOTA BARU,51860.0,"((116.17608067010309, -3.260835),)"
3762,concepcion del uruguay,,"((-58.218393643873334, -32.484449999999995),)"
3764,port said,,"((32.37049635828049, 31.22759),)"
3765,SAPANGAR BAY,49845.0,"((116.05892665969711, 6.0314049999999995),)"
3766,conchan,,"((-76.93537584134714, -12.257774999999999),)"
3767,vigo,,"((-8.724420301809205, 42.243735),)"
3768,KOTKA,28230.0,"((26.936637586999066, 60.458235),)"
3769,VILA DO CONDE,12491.0,"((-48.74318252502833, -1.517565),)"
3770,PORTSMOUTH,7180.0,"((-70.77549861389829, 43.08964),)"
3772,NORTH BEND,16750.0,"((-124.19684561280556, 43.394895000000005),)"
3774,port st. helens,,"((-122.81641312163605, 45.909015),)"
3775,TUBORG,29260.0,"((12.636048225673655, 55.689724999999996),)"
3778,KPEME,46095.0,"((1.5164516679995348, 6.202730000000001),)"
3779,VISHAKHAPATNAM,49480.0,"((83.31610836724153, 17.68338),)"
3783,CORINTO,15550.0,"((-87.16833158615316, 12.477725),)"
3784,krishnapatnam,,"((80.18781038149277, 14.243005),)"
3787,kristiansand,,"((7.978426921925874, 58.129135),)"
3791,vitoria,,"((-40.30074117717784, -20.320995000000003),)"
3792,port victoria,,"((55.477473550875864, -4.64804),)"
3794,KUALA TANJUNG,50518.0,"((99.47041805555556, 3.37454),)"
3795,vlora,,"((19.439641126348505, 40.467045),)"
3796,port vila,,"((168.29916998063192, -17.73667),)"
3797,PORT ARANSAS,9310.0,"((-97.24720609337805, 27.743135),)"
3799,KUCHING,51560.0,"((110.47646989531961, 1.664195),)"
3802,clatskanie,,"((-123.17716486420812, 46.1756),)"
3803,COTONOU,46110.0,"((2.422508936170213, 6.346690000000001),)"
3806,porvoo,,"((25.522770828471423, 60.302485000000004),)"
3807,covenas offshore terminal,,"((-75.78455755688009, 9.498674999999999),)"
3808,kulevi,,"((41.63108256732495, 42.26867),)"
3809,cove point,,"((-76.38736423498568, 38.402155),)"
3812,poti,,"((41.62996, 42.15047),)"
3814,PHU MY,57572.0,"((107.04258348716684, 10.45836),)"
3815,KUMUL,53142.0,"((144.56360999999998, -8.1),)"
3819,POZOS COLORADOS,11935.0,"((-74.25244977517295, 11.15533),)"
3823,pozzallo,,"((14.836754926081028, 36.71491),)"
3824,GAVAN VYSOTSK,28310.0,"((28.557670635650496, 60.606700000000004),)"
3827,WADI FEIRAN,48065.0,"((33.19293124217724, 28.74008),)"
3829,KURE,61640.0,"((132.5411203488372, 34.233090000000004),)"
3831,GRAND CUL DE SAC BAY,11625.0,"((-61.017021091753904, 13.99808),)"
3832,WAKAYAMA-SHIMOTSU KO,61545.0,"((135.11961543000479, 34.229685),)"
3835,dachu shan island,,"((122.34957976788067, 30.455775),)"
3837,WARRENTON,16840.0,"((-123.9061330086587, 46.18408),)"
3838,prony,,"((166.85887413865544, -22.352755000000002),)"
3840,WARRI,46170.0,"((5.733797048638317, 5.50975),)"
3841,dafeng,,"((120.79915904226156, 33.25096),)"
3842,PROVIDENCE,7420.0,"((-71.37825875305627, 41.794920000000005),)"
3847,weihai,,"((122.22717491153387, 37.466854999999995),)"
3848,PUERTO ARMUELLES,15460.0,"((-82.86333762465375, 8.235595),)"
3851,puerto bayovar,,"((-81.04871971833228, -5.79384),)"
3852,lae,,"((146.97887070607175, -6.81326),)"
3854,PUERTO BOLIVAR,15250.0,"((-80.00167107014289, -3.26165),)"
3855,SIAM SEAPORT,57461.0,"((100.88868123055522, 13.108015000000002),)"
3858,PUERTO BOLIVAR,11946.0,"((-71.96772390495869, 12.25409),)"
3859,wenzhou,,"((121.08389000231526, 27.9424),)"
3860,daishangaoting island,,"((122.2723572362936, 30.263755),)"
3861,PUERTO BORBURATA,12130.0,"((-68.01378376973354, 10.482095000000001),)"
3862,RADES,45432.0,"((10.255327356737725, 36.80826999999999),)"
3864,DAKAR,45820.0,"((-17.395492323651652, 14.676105),)"
3867,WEWAK HARBOR,56738.0,"((143.6438122065021, -3.56475),)"
3868,PUERTO CASTILLA,9690.0,"((-85.96523313440515, 15.997715),)"
3869,LAKE CHARLES,9040.0,"((-93.30247288187607, 30.001215000000002),)"
3874,whyalla,,"((137.6022675782624, -33.010805),)"
3877,PUERTO CORTES,9650.0,"((-87.95087785736243, 15.835215),)"
3879,WIDURI MARINE TERMINAL,51504.0,"((106.65555499999999, -4.654165000000001),)"
3881,langsa venture offshore,,"((98.05987628275395, 5.315555),)"
3882,WILHELMSHAVEN,30910.0,"((8.141174850199732, 53.581145),)"
3883,puerto del rosario,,"((-13.858436948818898, 28.4934),)"
3884,DANDONG,60233.0,"((124.13212442597427, 39.7094),)"
3885,NUEVITAS BAY,10150.0,"((-77.21132493014555, 21.536365),)"
3886,WILLEMSTAD,11810.0,"((-68.92754191792295, 12.125074999999999),)"
3887,LA PAMPILLA OIL TERMINAL,14955.0,"((-77.16194455287715, -11.921145),)"
3888,wilmington,,"((-77.95228326229508, 34.18484),)"
3889,dangjin power station,,"((126.5080906326487, 37.065135),)"
3890,PUERTO LA CRUZ,12185.0,"((-64.64808114943726, 10.230355),)"
3891,LA PLATA,13770.0,"((-57.89771099330872, -34.84452),)"
3892,windsor,,"((-83.08490211044725, 42.297275),)"
3894,larnaca,,"((33.64948422566372, 34.93213),)"
3896,MJIMWEMA TERMINAL,47005.0,"((39.34286851534296, -6.807145),)"
3898,PUNTA DE PALMAS,12032.0,"((-71.55121180312443, 10.73731),)"
3902,PUERTO MOIN,9805.0,"((-82.98917944764861, 9.989305),)"
3905,JAZIRAT DAS,48277.0,"((52.981442947077255, 25.02325678235084),)"
3906,puerto nuevo (pnsa),,"((-74.23888354646408, 11.065380000000001),)"
3908,davao,,"((125.64850127717392, 7.075850000000001),)"
3909,wushashan,,"((121.66906209136933, 29.516849999999998),)"
3910,PALUA,12330.0,"((-62.71417222560976, 8.34914),)"
3911,LA SALINA,12025.0,"((-71.46272708831518, 10.3652),)"
3915,DELFZIJL,30990.0,"((6.978047335715699, 53.313235000000006),)"
3917,la skhirra,,"((10.150463539596958, 34.322775),)"
3918,puerto quetzal,,"((-90.79260818992776, 13.934045000000001),)"
3919,derince,,"((29.84666642526385, 40.75049),)"
3920,PUERTO SANDINO,15545.0,"((-86.77854237146366, 12.17653),)"
3921,LA SPEZIA,39520.0,"((9.873390831670543, 44.070235),)"
3924,AL LADHIQIYAH,45010.0,"((35.76569698862332, 35.53336),)"
3925,DETROIT,3620.0,"((-83.13888341204776, 42.235),)"
3927,xidian,,"((121.50467806518446, 29.487245),)"
3929,DEVONPORT,54920.0,"((146.35544972276165, -41.155075),)"
3930,PULUPANDAN,59120.0,"((122.77736249112425, 10.49271),)"
3931,xijiang offshore,,"((114.88, 21.288335),)"
3932,LAUTOKA HARBOR,55530.0,"((177.4372439957627, -17.60776),)"
3933,PUNTA CARDON,12050.0,"((-70.23980775346686, 11.622695),)"
3934,xinle,,"((121.93072178463855, 29.64314),)"
3936,punta cuchillo,,"((-62.8192075, 8.3218),)"
3937,lawi lawi,,"((116.81, -1.4649999999999999),)"
3939,PUNTA EUROPA TERMINAL,46306.0,"((8.717434107087106, 3.780025),)"
3940,PUERTO YABUCOA,11205.0,"((-65.81654079995288, 18.0363),)"
3941,LAZARO CARDENAS,15765.0,"((-102.1810981300813, 17.94277),)"
3942,PUERTO PLATA,10980.0,"((-70.69737483206933, 19.80528),)"
3944,yalova-altinova,,"((29.46054093455627, 40.714025),)"
3945,PORT DU HAVRE-ANTIFER,35835.0,"((0.07243124319419084, 49.57221),)"
3946,duba,,"((35.72713542601187, 27.317895),)"
3948,PORTO DE LEIXOES,37950.0,"((-8.724316285148213, 41.189005),)"
3951,PORT EST,47690.0,"((55.30387331632653, -20.928475),)"
3953,qalhat,,"((59.42826730249711, 22.649900000000002),)"
3954,KING FAHD PORT,48121.0,"((38.19429057965621, 23.96349),)"
3956,qhd 32-6 offshore terminal,,"((119.19999999999999, 38.400000000000006),)"
3960,yangjiang,,"((111.82971839084036, 21.690065),)"
3962,qinhuangdao,,"((119.64703938165985, 39.9013),)"
3964,DILI,51440.0,"((125.57604604562678, -8.53692),)"
3965,RANGOON,49650.0,"((96.25348067320452, 16.621275),)"
3966,QUA IBOE OIL TERMINAL,46195.0,"((8.069714999999999, 4.223845),)"
3969,quangang,,"((119.00885884363142, 25.052979999999998),)"
3970,DJEN-DJEN,45525.0,"((5.890284461067344, 36.824525),)"
3972,yangshan,,"((122.09075755132832, 30.621845),)"
3973,DJENO TERMINAL,46472.0,"((11.889084844947153, -4.940395),)"
3974,lianyungang,,"((119.49163922212297, 34.722285),)"
3975,yangxi power station,,"((111.68304661798396, 21.536085),)"
3976,DORALEH,47855.0,"((43.09990141046952, 11.596995),)"
3978,QUEQUEN,13790.0,"((-58.68144164980786, -38.59098),)"
3979,dneprobugskiy,,"((31.943114723556775, 46.76394500000001),)"
3980,liepaja,,"((21.009600397299508, 56.541555),)"
3982,LIMASSOL,44950.0,"((33.04501593900185, 34.6614),)"
3984,DONGSHAN,57864.0,"((117.51676403105346, 23.763275),)"
3989,yeongheung power station,,"((126.42714837209303, 37.25301),)"
3990,RABIGH,48130.0,"((39.01584500659631, 22.704225),)"
3991,dordrecht,,"((4.627643881700557, 51.801575),)"
3994,LIRQUEN,14425.0,"((-72.99903346645367, -36.727105),)"
3995,BOTAS DORTYOL OIL TERMINAL,44802.0,"((36.15150047059532, 36.826395),)"
3996,ramallo,,"((-60.02040550759026, -33.466965),)"
3998,dos bocas,,"((-93.17071652527687, 18.622819999999997),)"
4001,DOUALA,46280.0,"((9.661741507587731, 4.040815),)"
4012,raroa marine terminal,,"((173.3, -39.95),)"
4013,yoho offshore terminal,,"((7.523510011845534, 4.03279),)"
4014,livorno,,"((10.260786908916499, 43.563215),)"
4015,DRIFT RIVER,19805.0,"((-152.13568186450257, 60.557405),)"
4018,LOBITO,46590.0,"((13.565215947580645, -12.341555),)"
4019,ras gharib,,"((33.12257947578219, 28.334055),)"
4021,LOME,46090.0,"((1.2954116539008433, 6.14112),)"
4024,YOMBO TERMINAL,46460.0,"((11.1015125, -4.45312),)"
4030,long beach,,"((-118.18389107065349, 33.74777),)"
4031,RAS SHUKHIER,48015.0,"((33.332824238187705, 28.09415),)"
4035,DULUTH,5460.0,"((-92.02496519148914, 46.726034999999996),)"
4037,yuum kak naab offshore,,"((-92.28077710978201, 19.587755),)"
4038,longview,,"((-122.95979285813186, 46.116775),)"
4041,YUZHNYY,43655.0,"((31.060124093289346, 46.598155000000006),)"
4043,DUMAI,50785.0,"((101.50119237972424, 1.69472),)"
4044,ravenna,,"((12.256269933637537, 44.46402),)"
4045,ZAFARANA TERMINAL,48057.0,"((32.69299028804348, 29.174575),)"
4046,LOOP TERMINAL,8980.0,"((-89.97290678970978, 28.867375000000003),)"
4048,RAYONG TPI TERMINAL,57443.0,"((101.29578265759335, 12.64762),)"
4050,DUNDEE,32170.0,"((-2.9409113580246933, 56.463485),)"
4051,ZAMBOANGA,59580.0,"((122.06185683024088, 6.819224999999999),)"
4052,RECIFE,12730.0,"((-34.86786575594781, -8.056425),)"
4053,LORIENT,36680.0,"((-3.3590604545454523, 47.719854999999995),)"
4054,dung quat,,"((108.80273380409425, 15.40884),)"
4055,reihoku power station,,"((130.03407222222222, 32.484265),)"
4056,ZANZIBAR,47050.0,"((39.189082618389904, -6.15423),)"
4057,LOS ANGELES,16080.0,"((-118.26114636735676, 33.742785),)"
4058,DUNKERQUE PORT OUEST,35732.0,"((2.100816672288107, 51.082495),)"
4060,zarate,,"((-59.024423726550616, -34.0826),)"
4062,al duqm,,"((57.713905695805806, 19.686230000000002),)"
4066,LUANDA,46560.0,"((13.274734212926644, -8.777325000000001),)"
4067,durres,,"((19.439460482083348, 41.345905),)"
4068,revithoussa,,"((23.402489654221398, 37.959),)"
4069,ZEEBRUGGE,31280.0,"((3.20823629477684, 51.33349),)"
4070,EAST ZEIT TERMINAL,47987.0,"((33.599572368563685, 27.82105),)"
4071,lubuk tutung,,"((117.7930982194592, 0.7146049999999999),)"
4073,ebok offshore terminal,,"((8.170414981371088, 4.100275),)"
4075,riga,,"((24.09501611899418, 57.0163),)"
4078,BAKAR,41030.0,"((14.429639271643968, 45.220045),)"
4079,EEMSHAVEN,30985.0,"((6.854406924157299, 53.44184),)"
4081,YANGZHOU,59988.0,"((119.30540701927863, 32.2112),)"
4082,rio cullen,,"((-68.225, -52.80333),)"
4084,lufeng 22-1 offshore terminal,,"((116.492775, 21.478335),)"
4085,DTSE / GEGUA OIL TERMINAL,12900.0,"((-43.173355802354834, -22.849805),)"
4087,eilat,,"((34.9422407231405, 29.51583),)"
4088,zhuanghe power station,,"((123.21111314770701, 39.666435),)"
4089,PUERTO GALLEGOS,13960.0,"((-69.03504554609202, -51.596055),)"
4090,luise harbour,,"((152.6426792503197, -3.102595),)"
4092,RIO GRANDE,13060.0,"((-51.972659840935535, -32.08025),)"
4094,lulea,,"((22.30952747604241, 65.540555),)"
4096,PUERTO DE HAINA,11045.0,"((-70.01256631539158, 18.40406),)"
4099,luoyuan,,"((119.67458089091139, 26.472414999999998),)"
4100,EZ ZUEITINA,45290.0,"((20.028540311770676, 30.878284999999998),)"
4101,ELEVSIS,42200.0,"((23.516040315174063, 38.038195),)"
4103,LAAYOUNE,45809.0,"((-13.438029342073023, 27.071205),)"
4104,maceio,,"((-35.75156673709306, -9.69315),)"
4106,EL PALITO,12115.0,"((-68.12701604667413, 10.49777),)"
4107,EL SEGUNDO,16110.0,"((-118.48497761246001, 33.91849),)"
4109,ensenada port,,"((-116.62098498204458, 31.846935),)"
4110,ensted power station,,"((9.44380641831966, 55.024715),)"
4113,eregli,,"((31.39402789940614, 41.263935000000004),)"
4114,erha offshore terminal,,"((4.334124524490248, 5.341985),)"
4118,ESCRAVOS OIL TERMINAL,46135.0,"((4.974430786096471, 5.549525),)"
4119,esmeraldas,,"((-79.641665, 1.0150700000000001),)"
4120,ESPOIR MARINE TERMINAL,46008.0,"((-4.44689006102425, 5.0399449999999995),)"
4121,AS SIDR,45297.0,"((18.368678143965518, 30.644585),)"
4142,svetly,,"((20.129546733333328, 54.675534999999996),)"
4143,LAHAD DATU,51730.0,"((118.37520337950836, 5.000395),)"
4148,PUERTO VIEJO DE AZUA,11060.0,"((-70.83688601654217, 18.34655),)"
4154,MARSAXLOKK,40340.0,"((14.553901033864548, 35.812479999999994),)"
4156,sint eustatius,,"((-63.00509446714612, 17.4994),)"
4157,psvm offshore,,"((10.736611605002066, -6.26806),)"
4183,LIMETREE BAY,11335.0,"((-64.75172808695652, 17.695365),)"
4193,newburgh,,"((-74.00232593526609, 41.53008),)"
4195,bucksport,,"((-68.80779273712574, 44.576139999999995),)"
4198,PORT MANATEE,8667.0,"((-82.55982399390246, 27.636465),)"
4199,peekskill,,"((-73.9370292594644, 41.283435),)"
4201,kingston,,"((-73.96383357142858, 41.927139999999994),)"
4205,poughkeepsie,,"((-73.94009496477284, 41.705484999999996),)"
4229,AMBARLI,43388.0,"((28.581872337624183, 40.96356),)"
